EjerciciosDia.id,EjerciciosDia.userName,EjerciciosDia.idCurso,EjerciciosDia.fecha,EjerciciosDia.total
1236,440501695,3,2019-07-25 00:00:00,7
1279,432800993,3,2019-07-25 00:00:00,1
1039,433204194,3,2019-07-25 00:00:00,12
1258,456648692,3,2019-07-25 00:00:00,7
1067,433241299,3,2019-07-25 00:00:00,7
867,439011896,3,2019-07-25 00:00:00,17
1024,432018890,3,2019-07-25 00:00:00,13
1068,432731497,3,2019-07-25 00:00:00,5
1127,439915391,3,2019-07-25 00:00:00,3
1192,435737091,3,2019-07-25 00:00:00,3
1045,435177593,3,2019-07-25 00:00:00,10
1175,447512697,3,2019-07-25 00:00:00,7
1124,432169496,3,2019-07-25 00:00:00,3
1052,432422096,3,2019-07-25 00:00:00,16
1117,432460299,3,2019-07-25 00:00:00,3
1069,444424096,3,2019-07-25 00:00:00,7
1108,432262993,3,2019-07-25 00:00:00,3
1123,431951796,3,2019-07-25 00:00:00,3
1055,456539896,3,2019-07-25 00:00:00,9
1268,432908896,3,2019-07-25 00:00:00,7
1235,432294593,3,2019-07-25 00:00:00,13
1198,457426499,3,2019-07-25 00:00:00,3
878,443949793,3,2019-07-25 00:00:00,18
1173,432320093,3,2019-07-25 00:00:00,5
1234,458081391,3,2019-07-25 00:00:00,12
1167,442694992,3,2019-07-25 00:00:00,6
1280,yfernandez,3,2019-07-25 00:00:00,4
1054,436676995,3,2019-07-25 00:00:00,6
1043,432543197,3,2019-07-25 00:00:00,25
1028,458004591,3,2019-07-25 00:00:00,25
1125,438380292,3,2019-07-25 00:00:00,4
1070,438982497,3,2019-07-25 00:00:00,6
1162,433017793,1,2019-07-25 00:00:00,4
1204,457365293,3,2019-07-25 00:00:00,9
1021,445365897,3,2019-07-25 00:00:00,17
1163,449649191,3,2019-07-25 00:00:00,10
1016,446114596,3,2019-07-25 00:00:00,13
2045,432480694,3,2019-07-26 00:00:00,3
1354,439872997,3,2019-07-25 00:00:00,6
1342,437992492,3,2019-07-25 00:00:00,6
1333,433075293,3,2019-07-25 00:00:00,7
1006,433174993,1,2019-07-25 00:00:00,19
1338,433254598,3,2019-07-25 00:00:00,6
1334,447672391,3,2019-07-25 00:00:00,6
1348,432546298,3,2019-07-25 00:00:00,6
1347,432910398,3,2019-07-25 00:00:00,6
1339,440805392,3,2019-07-25 00:00:00,6
1346,432173890,3,2019-07-25 00:00:00,6
1010,432533595,1,2019-07-25 00:00:00,25
1355,441429299,3,2019-07-25 00:00:00,6
1345,432528391,3,2019-07-25 00:00:00,6
1336,444128692,3,2019-07-25 00:00:00,6
1335,438406193,3,2019-07-25 00:00:00,6
1341,432125996,3,2019-07-25 00:00:00,6
1281,eguerrero,1,2019-07-25 00:00:00,9
190,433150292,3,2019-07-24 00:00:00,4
164,442805897,3,2019-07-24 00:00:00,9
137,438983297,1,2019-07-24 00:00:00,1
140,454480595,1,2019-07-24 00:00:00,1
153,440174292,3,2019-07-24 00:00:00,11
171,452018298,3,2019-07-24 00:00:00,4
187,439903891,1,2019-07-24 00:00:00,4
143,432506992,1,2019-07-24 00:00:00,1
2046,433104391,1,2019-07-26 00:00:00,1
168,433248891,3,2019-07-24 00:00:00,5
195,433204194,3,2019-07-24 00:00:00,1
172,432911797,3,2019-07-24 00:00:00,5
169,447119097,3,2019-07-24 00:00:00,4
196,432495399,3,2019-07-24 00:00:00,1
134,432272096,3,2019-07-24 00:00:00,5
180,433165697,3,2019-07-24 00:00:00,5
198,442518897,3,2019-07-24 00:00:00,1
156,432479797,3,2019-07-24 00:00:00,11
127,432238295,1,2019-07-24 00:00:00,2
135,432410993,1,2019-07-24 00:00:00,10
157,439758898,3,2019-07-24 00:00:00,7
129,435079592,1,2019-07-24 00:00:00,3
167,441556494,1,2019-07-24 00:00:00,4
173,439469798,3,2019-07-24 00:00:00,5
152,432432998,3,2019-07-24 00:00:00,6
154,432285790,1,2019-07-24 00:00:00,2
159,447664292,3,2019-07-24 00:00:00,8
201,457980891,3,2019-07-24 00:00:00,1
40,432285695,3,2019-07-24 00:00:00,9
184,442023497,3,2019-07-24 00:00:00,5
163,442601391,3,2019-07-24 00:00:00,7
146,440025293,1,2019-07-24 00:00:00,3
185,431968797,1,2019-07-24 00:00:00,1
148,449575393,3,2019-07-24 00:00:00,5
149,454805197,1,2019-07-24 00:00:00,2
125,445720391,3,2019-07-24 00:00:00,4
179,433833199,3,2019-07-24 00:00:00,7
183,447220992,3,2019-07-24 00:00:00,3
50,445481097,3,2019-07-24 00:00:00,6
88,432791698,1,2019-07-24 00:00:00,12
188,456663090,1,2019-07-24 00:00:00,1
177,434456995,3,2019-07-24 00:00:00,5
162,457343199,3,2019-07-24 00:00:00,5
186,433154090,3,2019-07-24 00:00:00,5
170,457417790,3,2019-07-24 00:00:00,7
204,433265296,3,2019-07-24 00:00:00,1
178,454369791,3,2019-07-24 00:00:00,8
191,454338199,1,2019-07-24 00:00:00,2
700,456648594,3,2019-07-24 00:00:00,1
166,433152494,3,2019-07-24 00:00:00,5
138,456484590,3,2019-07-24 00:00:00,3
200,432314999,3,2019-07-24 00:00:00,5
182,432512494,3,2019-07-24 00:00:00,4
151,432067393,1,2019-07-24 00:00:00,2
165,444211598,3,2019-07-24 00:00:00,2
131,445376996,3,2019-07-24 00:00:00,4
175,434145991,3,2019-07-24 00:00:00,6
142,435733490,3,2019-07-24 00:00:00,5
158,433504296,3,2019-07-24 00:00:00,9
193,434067893,1,2019-07-24 00:00:00,2
145,439873699,1,2019-07-24 00:00:00,4
123,445532495,1,2019-07-24 00:00:00,3
174,436613091,3,2019-07-24 00:00:00,7
160,433200698,3,2019-07-24 00:00:00,5
122,457350791,3,2019-07-24 00:00:00,5
197,443309993,3,2019-07-24 00:00:00,2
74,457420799,1,2019-07-24 00:00:00,8
139,432931094,1,2019-07-24 00:00:00,4
133,439876492,1,2019-07-24 00:00:00,6
807,439968897,3,2019-07-24 00:00:00,2
161,432929393,3,2019-07-24 00:00:00,5
194,434967891,3,2019-07-24 00:00:00,2
147,454920594,1,2019-07-24 00:00:00,4
181,438533591,3,2019-07-24 00:00:00,4
141,435640097,3,2019-07-24 00:00:00,8
126,454997392,1,2019-07-24 00:00:00,8
176,458032095,3,2019-07-24 00:00:00,4
136,432444090,1,2019-07-24 00:00:00,4
124,440425490,3,2019-07-24 00:00:00,6
150,433190392,1,2019-07-24 00:00:00,5
207,433813698,3,2019-07-24 00:00:00,4
213,433904792,3,2019-07-24 00:00:00,3
155,436481590,3,2019-07-24 00:00:00,8
192,lramirez,1,2019-07-24 00:00:00,17
205,458194894,3,2019-07-24 00:00:00,3
203,445365897,3,2019-07-24 00:00:00,3
224,439875090,1,2019-07-24 00:00:00,16
234,436499098,3,2019-07-24 00:00:00,1
202,436707899,3,2019-07-24 00:00:00,2
221,433083094,1,2019-07-24 00:00:00,14
209,447387598,3,2019-07-24 00:00:00,3
208,447281794,3,2019-07-24 00:00:00,2
222,433450997,1,2019-07-24 00:00:00,13
225,433017793,1,2019-07-24 00:00:00,12
199,458004591,3,2019-07-24 00:00:00,6
233,432330891,3,2019-07-24 00:00:00,7
230,446914290,1,2019-07-24 00:00:00,10
214,432255491,3,2019-07-24 00:00:00,4
206,439666395,3,2019-07-24 00:00:00,5
227,432422096,3,2019-07-24 00:00:00,3
220,432543197,3,2019-07-24 00:00:00,2
217,435782593,3,2019-07-24 00:00:00,2
211,442640397,3,2019-07-24 00:00:00,3
212,445324396,3,2019-07-24 00:00:00,2
223,435136898,1,2019-07-24 00:00:00,15
228,436161990,3,2019-07-24 00:00:00,4
539,432408595,3,2019-07-24 00:00:00,1
216,448467697,3,2019-07-24 00:00:00,4
231,439070596,1,2019-07-24 00:00:00,15
219,446476294,3,2019-07-24 00:00:00,3
534,441514493,3,2019-07-24 00:00:00,4
235,441557293,3,2019-07-24 00:00:00,3
215,433252794,3,2019-07-24 00:00:00,3
232,446795797,3,2019-07-24 00:00:00,5
236,432036992,3,2019-07-24 00:00:00,5
540,440179492,3,2019-07-24 00:00:00,1
535,435152190,3,2019-07-24 00:00:00,2
226,435144091,1,2019-07-24 00:00:00,14
641,454773292,3,2019-07-24 00:00:00,5
652,447703890,3,2019-07-24 00:00:00,1
560,457343991,1,2019-07-24 00:00:00,6
557,432868092,1,2019-07-24 00:00:00,3
602,435222690,3,2019-07-24 00:00:00,1
634,449383592,3,2019-07-24 00:00:00,3
627,432546298,3,2019-07-24 00:00:00,4
653,433021798,3,2019-07-24 00:00:00,3
622,432055596,3,2019-07-24 00:00:00,3
795,432301995,3,2019-07-24 00:00:00,3
701,436588098,3,2019-07-24 00:00:00,2
640,432360593,3,2019-07-24 00:00:00,5
1130,439855893,3,2019-07-25 00:00:00,3
623,433026292,3,2019-07-24 00:00:00,8
382,fpcruz,3,2019-07-24 00:00:00,5
746,442519099,3,2019-07-24 00:00:00,2
